Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Seasons,Delta_G,Delta_Passing_Cmp,Delta_Passing_Att,Delta_Passing_Pct,Delta_Passing_Yds,Delta_Passing_Y/A,Delta_Passing_AY/A,Delta_Passing_TD,Delta_Passing_Int,Delta_Passing_Rate,Delta_Rushing_Att,Delta_Rushing_Yds,Delta_Rushing_Avg,Delta_Rushing_TD,Rating,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Team,Round,Pick,Draftyear
Doug Johnson,Florida,SEC,10.0,164.0,293.3333333333333,55.86666666666667,2314.3333333333335,7.900000000000001,7.599999999999999,20.0,11.0,137.53333333333333,32.333333333333336,-120.66666666666667,-3.6333333333333333,1.0,3,1.0,21.0,34.0,0.6999999999999993,275.5,0.04999999999999982,0.0,-0.5,0.5,-1.2999999999999972,-4.0,37.0,0.6000000000000001,0.0,,2000,Doug Johnson,QB,22.0,8.0,Florida,74,226,4.95,29.5,,96.0,,,,,,
Mike Samuel,Wisconsin,Big Ten,13.0,141.0,254.0,55.5,1896.0,7.5,5.8,8.0,13.0,118.4,129.0,242.0,1.9,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Davenport,North Carolina,ACC,10.0,107.5,182.5,58.849999999999994,1294.0,7.05,7.199999999999999,7.5,3.0,128.7,38.0,-25.5,-1.0499999999999998,1.0,2,-2.0,-15.0,-1.0,-7.899999999999999,-172.0,-0.9000000000000004,-0.7999999999999998,1.0,0.0,-13.599999999999994,-22.0,-75.0,-2.5,-2.0,,,,,,,,,,,,,,,,,,,
Jose Davis,Kent State,MAC,10.333333333333334,184.0,333.3333333333333,55.300000000000004,2240.6666666666665,6.7,6.366666666666667,19.0,10.666666666666666,123.46666666666665,82.66666666666667,202.66666666666666,2.466666666666667,3.6666666666666665,3,0.5,-7.0,-25.0,1.9499999999999993,-369.0,-0.5500000000000003,-0.6500000000000004,-8.0,-3.0,-7.699999999999996,32.0,97.0,-0.1499999999999999,0.5,,,,,,,,,,,,,,,,,,,
Brian Griese,Michigan,Big Ten,11.0,175.0,277.0,63.2,2042.0,7.4,7.6,14.0,5.0,138.2,51.0,7.0,0.1,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Hessler,Colorado,Big 12,11.0,181.0,338.0,53.6,2478.0,7.3,6.0,14.0,16.0,119.3,75.0,188.0,2.5,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Hasselbeck,Boston College,Big East,10.0,188.0,305.0,61.6,2239.0,7.3,6.6,11.0,10.0,128.6,71.0,24.0,0.3,1.0,1,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,
Lee Jolly,UAB,Ind,10.0,108.0,209.0,51.7,1530.0,7.3,6.9,11.0,7.0,123.8,80.0,8.0,0.1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branndon Stewart,Texas A&M,Big 12,12.0,111.0,196.0,56.6,1429.0,7.3,7.4,10.0,4.0,130.6,42.0,-69.0,-1.6,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Skinner,Hawaii,WAC,10.0,109.0,195.0,55.9,1416.0,7.3,4.6,3.0,13.0,108.6,58.0,-31.0,-0.5,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Kealy,Arizona State,Pac-10,10.666666666666666,153.33333333333334,275.0,55.800000000000004,2091.3333333333335,7.633333333333333,7.266666666666666,14.666666666666666,8.666666666666666,131.16666666666666,38.666666666666664,-149.66666666666666,-3.9,0.3333333333333333,3,0.0,-7.0,-15.0,0.4499999999999993,-80.5,0.10000000000000009,-0.2999999999999998,-2.5,1.5,-2.200000000000003,-10.5,28.0,-0.40000000000000013,,,,,,,,,,,,,,,,,,,,
Jonathan Crosswhite,Utah,WAC,9.5,129.0,221.5,58.25,1601.5,7.25,6.25,9.5,9.0,125.0,47.0,-47.5,-0.9999999999999999,1.5,2,1.0,-2.0,-1.0,-0.7000000000000028,27.0,0.09999999999999964,0.3000000000000007,1.0,0.0,2.1999999999999886,0.0,123.0,2.5999999999999996,1.0,,,,,,,,,,,,,,,,,,,
Jake Josetti,Ball State,MAC,11.0,106.0,217.0,48.8,1569.0,7.2,5.5,13.0,14.0,116.4,112.0,157.0,1.4,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Couch,Kentucky,SEC,11.0,381.5,550.0,69.35,4079.5,7.4,7.35,36.5,17.0,147.35000000000002,65.0,-124.5,-1.9,2.0,2,0.0,37.0,6.0,5.8999999999999915,391.0,0.6000000000000005,0.8999999999999995,-1.0,-4.0,11.900000000000006,-2.0,1.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,
Shaun King,Tulane,CUSA,11.5,222.5,364.5,61.0,3037.5,8.35,8.8,31.0,10.0,153.5,140.0,576.0,4.1,8.0,2,1.0,47.0,3.0,12.400000000000006,941.0,2.5,4.2,14.0,-8.0,50.39999999999998,32.0,130.0,0.0,6.0,,,,,,,,,,,,,,,,,,,
Bernard Oden,Memphis,CUSA,11.0,170.0,316.0,53.8,2249.0,7.1,6.6,12.0,9.0,120.4,129.0,81.0,0.6,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortege Jenkins,Arizona,Pac-10,10.5,119.0,248.0,48.0,1658.0,6.699999999999999,6.35,14.0,8.5,116.65,99.0,109.5,1.0,3.5,2,1.0,8.0,26.0,-1.7999999999999972,-22.0,-0.7999999999999998,-2.8999999999999995,-10.0,7.0,-28.700000000000003,68.0,113.0,0.3999999999999999,3.0,,,,,,,,,,,,,,,,,,,
Justin Vedder,California,Pac-10,11.0,215.5,388.0,55.55,2520.0,6.5,5.75,15.5,13.5,116.3,99.5,-87.5,-0.85,0.0,2,0.0,-11.0,-4.0,-2.3000000000000043,-396.0,-1.0,-1.3000000000000007,-9.0,-1.0,-17.400000000000006,1.0,-225.0,-2.3,,,,,,,,,,,,,,,,,,,,
Brian Brennan,Idaho,Big West,10.0,218.0,387.0,56.3,2708.0,7.0,7.4,19.0,5.0,128.7,46.0,-36.0,-0.8,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Kuklick,Wake Forest,ACC,10.0,203.0,354.0,57.7,2431.5,6.9,6.0,14.5,14.0,121.45,64.5,-78.5,-1.15,2.0,2,2.0,26.0,84.0,-6.399999999999999,503.0,-0.20000000000000018,-0.8000000000000007,-1.0,6.0,-13.900000000000006,27.0,-61.0,-0.4999999999999999,2.0,,,,,,,,,,,,,,,,,,,
Ron Powlus,Notre Dame,Ind,12.0,182.0,298.0,61.1,2078.0,7.0,6.5,9.0,7.0,124.9,46.0,-49.0,-1.1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Redman,Louisville,CUSA,10.666666666666666,295.6666666666667,469.0,62.93333333333334,3589.3333333333335,7.633333333333333,7.333333333333333,25.333333333333332,14.0,138.83333333333334,43.333333333333336,-88.0,-2.0,1.0,3,0.0,28.0,22.0,3.049999999999997,284.0,0.2999999999999998,0.5500000000000003,5.5,-0.5,8.949999999999996,-2.0,5.5,0.0,-1.0,73.0,2000,Chris Redman,QB,22.0,10.0,Louisville,75,222,5.37,26.5,,98.0,7.8,4.78,Baltimore Ravens ,3.0,75.0,2000.0
Jon Denton,UNLV,WAC,9.0,199.0,374.0,53.2,2586.0,6.9,5.8,18.0,17.0,118.1,64.0,5.0,0.1,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Crowley,Central Michigan,MAC,10.0,148.0,321.0,46.1,2204.0,6.9,6.1,11.0,10.0,108.9,47.0,-40.0,-0.9,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Fox,USC,Pac-10,11.0,153.0,280.0,54.6,1940.0,6.9,6.5,12.0,8.0,121.3,44.0,-28.0,-0.6,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hughes,Northwestern,Big Ten,12.0,142.0,270.0,52.6,1862.0,6.9,6.7,11.0,6.0,119.5,54.0,-74.0,-1.4,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Cummings,Maryland,ACC,11.0,154.0,255.0,60.4,1760.0,6.9,6.6,10.0,6.0,126.6,100.0,-139.0,-1.4,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akili Smith,Oregon,Pac-10,11.5,161.5,285.5,56.0,2574.0,8.5,8.8,22.5,7.5,146.95,85.5,183.5,2.1500000000000004,3.0,2,1.0,107.0,171.0,4.0,2378.0,3.1999999999999993,4.2,19.0,1.0,40.70000000000002,-7.0,1.0,0.10000000000000009,2.0,,,,,,,,,,,,,,,,,,,
Chris Wallace,Toledo,MAC,12.0,225.5,416.5,54.2,2715.5,6.5,6.6,22.0,8.5,122.05,95.5,89.5,0.8999999999999999,3.0,2,0.0,-13.0,-33.0,1.1999999999999957,-479.0,-0.5999999999999996,-1.0,-10.0,-1.0,-10.5,-5.0,-285.0,-3.0,2.0,,,,,,,,,,,,,,,,,,,
